"ssb","rec","spcode","sbro","sp"
47.946,47.061,1,1.306,"chilippeper"
47.924,63.629,1,1.306,"chilippeper"
48.011,16.512,1,1.306,"chilippeper"
47.48,83.21,1,1.306,"chilippeper"
46.404,24.183,1,1.306,"chilippeper"
45.502,68.479,1,1.306,"chilippeper"
44.499,13.5,1,1.306,"chilippeper"
43.872,23.025,1,1.306,"chilippeper"
43.959,12.513,1,1.306,"chilippeper"
44.093,46.046,1,1.306,"chilippeper"
42.546,17.147,1,1.306,"chilippeper"
39.778,10.15,1,1.306,"chilippeper"
36.915,4.908,1,1.306,"chilippeper"
34.201,6.499,1,1.306,"chilippeper"
30.893,139.679,1,1.306,"chilippeper"
27.866,17.938,1,1.306,"chilippeper"
23.955,39.313,1,1.306,"chilippeper"
21.837,33.862,1,1.306,"chilippeper"
22.722,40.992,1,1.306,"chilippeper"
24.454,35.049,1,1.306,"chilippeper"
25.707,20.582,1,1.306,"chilippeper"
26.562,33.545,1,1.306,"chilippeper"
26.934,13.655,1,1.306,"chilippeper"
27.52,48.482,1,1.306,"chilippeper"
27.849,12.114,1,1.306,"chilippeper"
27.852,19.37,1,1.306,"chilippeper"
27.344,10.76,1,1.306,"chilippeper"
27.033,22.693,1,1.306,"chilippeper"
10.45,10.165,2,1.289,"bocaccio"
10.464,25.59,2,1.289,"bocaccio"
10.357,0.791,2,1.289,"bocaccio"
10.217,0.2,2,1.289,"bocaccio"
9.924,10.401,2,1.289,"bocaccio"
9.369,10.339,2,1.289,"bocaccio"
8.8,0.2,2,1.289,"bocaccio"
7.95,0.2,2,1.289,"bocaccio"
7.054,44.121,2,1.289,"bocaccio"
6.342,0.2,2,1.289,"bocaccio"
5.689,6.376,2,1.289,"bocaccio"
5.053,3.324,2,1.289,"bocaccio"
4.855,0.677,2,1.289,"bocaccio"
4.844,0.2,2,1.289,"bocaccio"
4.417,0.724,2,1.289,"bocaccio"
3.503,12.502,2,1.289,"bocaccio"
2.731,0.301,2,1.289,"bocaccio"
2.208,1.253,2,1.289,"bocaccio"
1.763,1.703,2,1.289,"bocaccio"
1.525,7.173,2,1.289,"bocaccio"
1.371,0.779,2,1.289,"bocaccio"
1.067,1.707,2,1.289,"bocaccio"
0.809,1.73,2,1.289,"bocaccio"
0.767,0.2,2,1.289,"bocaccio"
0.701,0.626,2,1.289,"bocaccio"
0.6,0.253,2,1.289,"bocaccio"
0.505,0.2,2,1.289,"bocaccio"
0.433,0.2,2,1.289,"bocaccio"
0.362,0.2,2,1.289,"bocaccio"
0.299,0.2,2,1.289,"bocaccio"
435.363,148.486,3,7.753,"widow"
435.351,57.806,3,7.753,"widow"
435.339,16.064,3,7.753,"widow"
435.327,16.3,3,7.753,"widow"
435.821,26.951,3,7.753,"widow"
439.349,32.877,3,7.753,"widow"
449.259,17.258,3,7.753,"widow"
474.143,68.415,3,7.753,"widow"
478.232,79.664,3,7.753,"widow"
474.489,43.165,3,7.753,"widow"
450.519,92.744,3,7.753,"widow"
366.842,89.195,3,7.753,"widow"
269.666,36.808,3,7.753,"widow"
187.556,27.905,3,7.753,"widow"
164.322,37.448,3,7.753,"widow"
157.515,39.895,3,7.753,"widow"
153.148,26.952,3,7.753,"widow"
161.446,42.173,3,7.753,"widow"
163.598,34.764,3,7.753,"widow"
163.826,29.612,3,7.753,"widow"
149.342,29.84,3,7.753,"widow"
135.19,39.281,3,7.753,"widow"
130.023,20.463,3,7.753,"widow"
123.551,33.533,3,7.753,"widow"
115.947,29.057,3,7.753,"widow"
111.738,29.958,3,7.753,"widow"
106.551,20.423,3,7.753,"widow"
17.56,1.53,4,7.789,"canary"
17.14,4.352,4,7.789,"canary"
16.877,2.008,4,7.789,"canary"
16.578,3.833,4,7.789,"canary"
16.559,1.334,4,7.789,"canary"
16.549,2.127,4,7.789,"canary"
16.374,2.827,4,7.789,"canary"
14.845,2.251,4,7.789,"canary"
14.659,2.108,4,7.789,"canary"
14.24,3.392,4,7.789,"canary"
14.052,1.626,4,7.789,"canary"
13.562,2.872,4,7.789,"canary"
12.786,3.609,4,7.789,"canary"
11.565,1.179,4,7.789,"canary"
10.351,2.212,4,7.789,"canary"
9.519,2.041,4,7.789,"canary"
7.755,2.494,4,7.789,"canary"
6.335,1.479,4,7.789,"canary"
6.095,2.058,4,7.789,"canary"
5.85,1.562,4,7.789,"canary"
5.832,1.059,4,7.789,"canary"
5.407,1.675,4,7.789,"canary"
4.98,1.046,4,7.789,"canary"
4.314,1.793,4,7.789,"canary"
3.791,1.508,4,7.789,"canary"
2.976,1.16,4,7.789,"canary"
2.298,1.074,4,7.789,"canary"
1.803,0.746,4,7.789,"canary"
2.228,0.87,5,1.209,"black"
1.74,0.895,5,1.209,"black"
1.438,1.392,5,1.209,"black"
1.077,1.591,5,1.209,"black"
0.917,1.766,5,1.209,"black"
0.72,0.711,5,1.209,"black"
0.635,1.529,5,1.209,"black"
36.201,11.318,6,2.403,"yellowtail"
35.802,14.795,6,2.403,"yellowtail"
34.961,13.839,6,2.403,"yellowtail"
34.001,9.737,6,2.403,"yellowtail"
33.734,6.521,6,2.403,"yellowtail"
33.4,9.287,6,2.403,"yellowtail"
32.488,13.481,6,2.403,"yellowtail"
30.97,25.065,6,2.403,"yellowtail"
30.046,18.783,6,2.403,"yellowtail"
29.276,17.221,6,2.403,"yellowtail"
28.018,19.709,6,2.403,"yellowtail"
26.724,14.286,6,2.403,"yellowtail"
24.038,7.129,6,2.403,"yellowtail"
21.084,11.418,6,2.403,"yellowtail"
18.699,15.49,6,2.403,"yellowtail"
16.989,7.02,6,2.403,"yellowtail"
16.338,14.598,6,2.403,"yellowtail"
16.385,16.478,6,2.403,"yellowtail"
17.874,12.13,6,2.403,"yellowtail"
19.578,10.594,6,2.403,"yellowtail"
19.964,13.157,6,2.403,"yellowtail"
19.699,8.419,6,2.403,"yellowtail"
18.418,14.968,6,2.403,"yellowtail"
17.316,13.625,6,2.403,"yellowtail"
16.855,5.439,6,2.403,"yellowtail"
16.747,12.794,6,2.403,"yellowtail"
15.801,11.905,6,2.403,"yellowtail"
35.425,29.267,7,6.155,"perch_us"
34.078,18.181,7,6.155,"perch_us"
32.66,11.642,7,6.155,"perch_us"
31.69,8.47,7,6.155,"perch_us"
30.632,9.346,7,6.155,"perch_us"
29.571,13.964,7,6.155,"perch_us"
28.415,10.372,7,6.155,"perch_us"
28.898,5.737,7,6.155,"perch_us"
31.989,3.772,7,6.155,"perch_us"
36.489,2.805,7,6.155,"perch_us"
39.081,2.448,7,6.155,"perch_us"
32.736,2.153,7,6.155,"perch_us"
19.966,2.281,7,6.155,"perch_us"
13.203,2.723,7,6.155,"perch_us"
12.381,6.036,7,6.155,"perch_us"
11.507,2.464,7,6.155,"perch_us"
10.816,1.376,7,6.155,"perch_us"
10.013,1.09,7,6.155,"perch_us"
9.175,1.361,7,6.155,"perch_us"
9.056,1.565,7,6.155,"perch_us"
8.596,1.476,7,6.155,"perch_us"
