"year","month","week","count","week_idx"
2011,1,1,785,1
2011,1,2,608,2
2011,1,3,426,3
2011,1,4,618,4
2011,1,5,125,5
2011,2,5,53,6
2011,2,6,111,7
2011,2,7,797,8
2011,2,8,772,9
2011,2,9,195,10
2011,3,9,691,11
2011,3,10,1084,12
2011,3,11,1383,13
2011,3,12,1121,14
2011,3,13,1049,15
2011,4,13,166,16
2011,4,14,1040,17
2011,4,15,931,18
2011,4,16,702,19
2011,4,17,911,20
2011,4,18,42,21
2011,5,18,1168,22
2011,5,19,1126,23
2011,5,20,1090,24
2011,5,21,1121,25
2011,5,22,366,26
2011,6,22,644,27
2011,6,23,1112,28
2011,6,24,1213,29
2011,6,25,1406,30
2011,6,26,1171,31
2011,7,26,130,32
2011,7,27,1267,33
2011,7,28,1540,34
2011,7,29,1307,35
2011,7,30,1538,36
2011,7,31,130,37
2011,8,31,1555,38
2011,8,32,1823,39
2011,8,33,1629,40
2011,8,34,1823,41
2011,8,35,1229,42
2011,9,35,506,43
2011,9,36,1081,44
2011,9,37,1970,45
2011,9,38,1689,46
2011,9,39,1364,47
2011,10,40,1307,48
2011,10,41,1060,49
2011,10,42,957,50
2011,10,43,1140,51
2011,10,44,222,52
2011,11,44,566,53
2011,11,45,820,54
2011,11,46,643,55
2011,11,47,585,56
2011,11,48,581,57
2011,12,48,298,58
2011,12,49,593,59
2011,12,50,616,60
2011,12,51,552,61
2011,12,52,522,62
2011,12,53,14,63
2012,1,1,735,64
2012,1,2,969,65
2012,1,3,325,66
2012,1,4,584,67
2012,1,5,307,68
2012,2,5,625,69
2012,2,6,842,70
2012,2,7,906,71
2012,2,8,954,72
2012,2,9,735,73
2012,3,9,562,74
2012,3,10,947,75
2012,3,11,1148,76
2012,3,12,1463,77
2012,3,13,1179,78
2012,4,14,1106,79
2012,4,15,1125,80
2012,4,16,905,81
2012,4,17,1007,82
2012,4,18,262,83
2012,5,18,982,84
2012,5,19,1383,85
2012,5,20,1527,86
2012,5,21,1524,87
2012,5,22,939,88
2012,6,22,240,89
2012,6,23,1827,90
2012,6,24,1691,91
2012,6,25,1722,92
2012,6,26,1878,93
2012,7,27,1459,94
2012,7,28,1743,95
2012,7,29,1288,96
2012,7,30,2026,97
2012,7,31,958,98
2012,8,31,1041,99
2012,8,32,1759,100
2012,8,33,1684,101
2012,8,34,2784,102
2012,8,35,1942,103
2012,9,35,91,104
2012,9,36,1949,105
2012,9,37,1653,106
2012,9,38,1714,107
2012,9,39,1619,108
2012,9,40,65,109
2012,10,40,1208,110
2012,10,41,1061,111
2012,10,42,1030,112
2012,10,43,1138,113
2012,10,44,520,114
2012,11,44,285,115
2012,11,45,798,116
2012,11,46,762,117
2012,11,47,642,118
2012,11,48,1003,119
2012,12,48,34,120
2012,12,49,834,121
2012,12,50,768,122
2012,12,51,718,123
2012,12,52,362,124
2012,12,53,137,125
2013,1,1,724,126
2013,1,2,742,127
2013,1,3,526,128
2013,1,4,484,129
2013,1,5,289,130
2013,2,5,112,131
2013,2,6,489,132
2013,2,7,528,133
2013,2,8,318,134
2013,2,9,207,135
2013,3,9,87,136
2013,3,10,443,137
2013,3,11,823,138
2013,3,12,597,139
2013,3,13,605,140
2013,4,13,167,141
2013,4,14,892,142
2013,4,15,704,143
2013,4,16,668,144
2013,4,17,1003,145
2013,4,18,171,146
2013,5,18,733,147
2013,5,19,837,148
2013,5,20,1284,149
2013,5,21,959,150
2013,5,22,905,151
2013,6,22,333,152
2013,6,23,1080,153
2013,6,24,1015,154
2013,6,25,1190,155
2013,6,26,823,156
2013,7,26,212,157
2013,7,27,1109.2,158
2013,7,28,1425,159
2013,7,29,1501,160
2013,7,30,1492,161
2013,7,31,614,162
2013,8,31,1251,163
2013,8,32,1855,164
2013,8,33,1893,165
2013,8,34,1773,166
2013,8,35,1115,167
2013,9,35,189,168
2013,9,36,1600,169
2013,9,37,1651,170
2013,9,38,1416,171
2013,9,39,1740,172
2013,10,40,1781,173
2013,10,41,1513,174
2013,10,42,1319,175
2013,10,43,1196,176
2013,10,44,540,177
2013,11,44,398,178
2013,11,45,613,179
2013,11,46,679,180
2013,11,47,615,181
2013,11,48,446.4,182
2013,12,48,165,183
2013,12,49,619,184
2013,12,50,284,185
2013,12,51,273,186
2013,12,52,157,187
2013,12,53,6,188
2014,1,1,53,189
2014,1,2,134,190
2014,1,3,111,191
2014,1,4,34,192
2014,1,5,75,193
2014,2,5,52,194
2014,2,6,55,195
2014,2,7,36,196
2014,2,8,112,197
2014,2,9,37,198
2014,3,9,22,199
2014,3,10,188,200
2014,3,11,542,201
2014,3,12,726,202
2014,3,13,655,203
2014,4,13,105,204
2014,4,14,670,205
2014,4,15,811,206
2014,4,16,653,207
2014,4,17,827,208
2014,4,18,120,209
2014,5,18,616,210
2014,5,19,832,211
2014,5,20,1046,212
2014,5,21,914,213
2014,5,22,616,214
2014,6,22,428,215
2014,6,23,986,216
2014,6,24,1236,217
2014,6,25,1626,218
2014,6,26,976,219
2014,7,26,259,220
2014,7,27,1363,221
2014,7,28,1663,222
2014,7,29,2037,223
2014,7,30,1469,224
2014,7,31,598,225
2014,8,31,1099,226
2014,8,32,1533,227
2014,8,33,1633,228
2014,8,34,1377,229
2014,8,35,1127,230
2014,9,35,447,231
2014,9,36,1493,232
2014,9,37,1310,233
2014,9,38,1715,234
2014,9,39,1548,235
2014,10,40,1576,236
2014,10,41,1695,237
2014,10,42,1507,238
2014,10,43,1574,239
2014,10,44,606,240
2014,11,44,638,241
2014,11,45,1053,242
2014,11,46,1038,243
2014,11,47,731,244
2014,11,48,251,245
2014,12,48,320,246
2014,12,49,973,247
2014,12,50,1002,248
2014,12,51,854,249
2014,12,52,494,250
2014,12,53,52,251
2015,1,1,226,252
2015,1,2,266,253
2015,1,3,533,254
2015,1,4,486,255
2015,1,5,152,256
2015,2,5,43,257
2015,2,6,250,258
2015,2,7,262,259
2015,2,8,289,260
2015,2,9,44,261
2015,3,9,150,262
2015,3,10,770,263
2015,3,11,1217,264
2015,3,12,635,265
2015,3,13,662,266
2015,4,13,174,267
2015,4,14,1052,268
2015,4,15,1283,269
2015,4,16,1279,270
2015,4,17,1301,271
2015,4,18,170,272
2015,5,18,1269,273
2015,5,19,1416,274
2015,5,20,1459,275
2015,5,21,1459,276
2015,5,22,710,277
2015,6,22,886,278
2015,6,23,1616,279
2015,6,24,1454,280
2015,6,25,1911,281
2015,6,26,1592,282
2015,7,26,329,283
